tags: ἕρμαιον ἕρμαιον-12 conjugaison

παιδεῦσαι (16a)|éduquer, avoir éduqué|infinitif aoriste|voix active|παιδεῦ-σαι|
παιδεύσασθαι (16m)|éduquer, avoir éduqué|infinitif aoriste|voix moyenne|παιδεύ-σα-σθαι|

τιμῆσαι (16a)|honorer, avoir honoré|infinitif aoriste|voix active|τιμῆ-σαι|
τιμήσασθαι (16m)|honorer, avoir honoré|infinitif aoriste|voix moyenne|τιμή-σα-σθαι|

ποιῆσαι (16a)|faire, avoir fait|infinitif aoriste|voix active|ποιῆ-σαι|
ποιήσασθαι (16m)|faire, avoir fait|infinitif aoriste|voix moyenne|ποιή-σα-σθαι|

δηλῶσαι (16a)|montrer, avoir montré|infinitif aoriste|voix active|δηλῶ-σαι|
δηλώσασθαι (16m)|montrer, avoir montré|infinitif aoriste|voix moyenne|δηλώ-σα-σθαι|
