tags: ἕρμαιον ἕρμαιον-12 conjugaison

ἐπαίδευσα (12a)|j'éduquai|indicatif aoriste|voix active|ἐ-παίδευ-σᾰ||ἐ-παίδευ-σᾰ<span class=desinence>-ς</span>||ἐ-παίδευ-σε||ἐ-παιδεύ-σᾰ<span class=desinence>-μεν</span>||ἐ-παιδεύ-σᾰ<span class=desinence>-τε</span>||ἐ-παίδευ-σᾰ<span class=desinence>-ν</span>|

ἐπαιδευσάμην (12m)|j'éduquai|indicatif aoriste|voix moyenne|ἐ-παιδευ-σά<span class="desinence">-μην</span>||ἐ-παιδεύ-σω|[*-σᾰ<span class="desinence">-σο</span>]|ἐ-παιδεύ-σᾰ<span class="desinence">-το</span>||ἐ-παιδευ-σά<span class="desinence">-μεθᾰ</span>||ἐ-παιδεύ-σᾰ<span class="desinence">-σθε</span>||ἐ-παιδεύ-σᾰ<span class="desinence">-ντο</span>|


ἐτίμησα (12a)|j'honorai|indicatif aoriste|voix active|ἐ-τίμη-σᾰ||ἐ-τίμη-σᾰ<span class=desinence>-ς</span>||ἐ-τίμη-σε||ἐ-τιμή-σᾰ<span class=desinence>-μεν</span>||ἐ-τιμή-σᾰ<span class=desinence>-τε</span>||ἐ-τίμη-σᾰ<span class=desinence>-ν</span>|

ἐτιμησάμην (12m)|j'honorai|indicatif aoriste|voix moyenne|ἐ-τιμη-σά<span class="desinence">-μην</span>||ἐ-τιμή-σω|[*-σᾰ<span class="desinence">-σο</span>]|ἐ-τιμή-σᾰ<span class="desinence">-το</span>||ἐ-τιμη-σά<span class="desinence">-μεθᾰ</span>||ἐ-τιμή-σᾰ<span class="desinence">-σθε</span>||ἐ-τιμή-σᾰ<span class="desinence">-ντο</span>|


ἐποίησα (12a)|je fis|indicatif aoriste|voix active|ἐ-ποίη-σᾰ||ἐ-ποίη-σᾰ<span class=desinence>-ς</span>||ἐ-ποίη-σε||ἐ-ποιή-σᾰ<span class=desinence>-μεν</span>||ἐ-ποιή-σᾰ<span class=desinence>-τε</span>||ἐ-ποίη-σᾰ<span class=desinence>-ν</span>|

ἐποιησάμην (12m)|je fis|indicatif aoriste|voix moyenne|ἐ-ποιη-σά<span class="desinence">-μην</span>||ἐ-ποιή-σω|[*-σᾰ<span class="desinence">-σο</span>]|ἐ-ποιή-σᾰ<span class="desinence">-το</span>||ἐ-ποιη-σά<span class="desinence">-μεθᾰ</span>||ἐ-ποιή-σᾰ<span class="desinence">-σθε</span>||ἐ-ποιή-σᾰ<span class="desinence">-ντο</span>|


ἐδήλωσα (12a)|je montrai|indicatif aoriste|voix active|ἐ-δήλω-σᾰ||ἐ-δήλω-σᾰ<span class=desinence>-ς</span>||ἐ-δήλω-σε||ἐ-δηλώ-σᾰ<span class=desinence>-μεν</span>||ἐ-δηλώ-σᾰ<span class=desinence>-τε</span>||ἐ-δήλω-σᾰ<span class=desinence>-ν</span>|

ἐδηλωσάμην (12m)|je montrai|indicatif aoriste|voix moyenne|ἐ-δηλω-σά<span class="desinence">-μην</span>||ἐ-δηλώ-σω|[*-σᾰ<span class="desinence">-σο</span>]|ἐ-δηλώ-σᾰ<span class="desinence">-το</span>||ἐ-δηλω-σά<span class="desinence">-μεθᾰ</span>||ἐ-δηλώ-σᾰ<span class="desinence">-σθε</span>||ἐ-δηλώ-σᾰ<span class="desinence">-ντο</span>|


ἐδίψησα (12a)|j'eus soif|indicatif aoriste|voix active|ἐ-δίψη-σᾰ||ἐ-δίψη-σᾰ<span class=desinence>-ς</span>||ἐ-δίψη-σε||ἐ-διψή-σᾰ<span class=desinence>-μεν</span>||ἐ-διψή-σᾰ<span class=desinence>-τε</span>||ἐ-δίψη-σᾰ<span class=desinence>-ν</span>|

ἔζησα (12a)|je vécus|indicatif aoriste|voix active|ἔ-ζη-σᾰ||ἔ-ζη-σᾰ<span class=desinence>-ς</span>||ἔ-ζη-σε||ἐ-ζή-σᾰ<span class=desinence>-μεν</span>||ἐ-ζή-σᾰ<span class=desinence>-τε</span>||ἔ-ζη-σᾰ<span class=desinence>-ν</span>|

ἐχρησάμην (12m)|je me servis de|indicatif aoriste|voix moyenne|ἐ-χρη-σά<span class="desinence">-μην</span>||ἐ-χρή-σω|[*-σᾰ<span class="desinence">-σο</span>]|ἐ-χρή-σᾰ<span class="desinence">-το</span>||ἐ-χρη-σά<span class="desinence">-μεθᾰ</span>||ἐ-χρή-σᾰ<span class="desinence">-σθε</span>||ἐ-χρή-σᾰ<span class="desinence">-ντο</span>|
