tags: ἕρμαιον ἕρμαιον-12 conjugaison

παιδεύσας (17a/M)|[en] ayant éduqué|participe aoriste masculin|voix active|παιδεύ<span class="desinence">-σᾱς</span>|[*σᾰ-ντ-ς]|||παιδεύ<span class="desinence">-σαντ-ᾰ</span>||παιδεύ<span class="desinence">-σαντ-ος</span>||παιδεύ<span class="desinence">-σαντ-ῐ</span>||παιδεύ<span class="desinence">-σαντ-ες</span>||||παιδεύ<span class="desinence">-σαντ-ᾰs</span>||παιδευ<span class="desinence">-σάντ-ων</span>||παιδεύ<span class="desinence">-σᾱσῐ</span>|[*σᾰ-ντ-σῐ]

παιδεῦσαν (17a/N)|[en] ayant éduqué|participe aoriste neutre|voix active|παιδεῦ<span class="desinence">-σᾰν</span>|[*σᾰ-ντ]|||παιδεῦ<span class="desinence">-σᾰν</span>||παιδεύ<span class="desinence">-σαντ-ος</span>||παιδεύ<span class="desinence">-σαντ-ῐ</span>||παιδεύ<span class="desinence">-σαντ-ᾰ</span>||||παιδεύ<span class="desinence">-σαντ-ᾰ</span>||παιδευ<span class="desinence">-σάντ-ων</span>||παιδεύ<span class="desinence">-σᾱσῐ</span>|[*σᾰ-ντ-σῐ]

παιδεύσασα (17a/F)|[en] ayant éduqué|participe aoriste féminin|voix active|παιδεύ<span class="desinence">-σᾱσᾰ</span>|[*σᾰ-ντ-yᾰ]|||παιδεύ<span class="desinence">-σᾱσᾰν</span>||παιδευ<span class="desinence">-σάσης</span>||παιδευ<span class="desinence">-σάσῃ</span>||παιδεύ<span class="desinence">-σᾱσαι</span>||||παιδευ<span class="desinence">-σάσᾱς</span>||παιδευ<span class="desinence">-σᾱσῶν</span>||παιδευ<span class="desinence">-σάσαις</span>|


τιμήσας (17a/M)|[en] ayant honoré|participe aoriste masculin|voix active|τιμή<span class="desinence">-σᾱς</span>|[*σᾰ-ντ-ς]|||τιμή<span class="desinence">-σαντ-ᾰ</span>||τιμή<span class="desinence">-σαντ-ος</span>||τιμή<span class="desinence">-σαντ-ῐ</span>||τιμή<span class="desinence">-σαντ-ες</span>||||τιμή<span class="desinence">-σαντ-ᾰs</span>||τιμη<span class="desinence">-σάντ-ων</span>||τιμή<span class="desinence">-σᾱσῐ</span>|[*σᾰ-ντ-σῐ]

τιμῆσαν (17a/N)|[en] ayant honoré|participe aoriste neutre|voix active|τιμῆ<span class="desinence">-σᾰν</span>|[*σᾰ-ντ]|||τιμῆ<span class="desinence">-σᾰν</span>||τιμή<span class="desinence">-σαντ-ος</span>||τιμή<span class="desinence">-σαντ-ῐ</span>||τιμή<span class="desinence">-σαντ-ᾰ</span>||||τιμή<span class="desinence">-σαντ-ᾰ</span>||τιμη<span class="desinence">-σάντ-ων</span>||τιμή<span class="desinence">-σᾱσῐ</span>|[*σᾰ-ντ-σῐ]
