tags: ἕρμαιον ἕρμαιον-8 déclinaison

 αὐτός|pronom personnel de la 3<sup>ème</sup> personne (M)||αὐτός|||αὐ<span class="desinence">τόν</span>||αὐ<span class="desinence">τοῦ</span>||αὐ<span class="desinence">τῷ</span>||αὐτ<span class="desinence">οί</span>|||αὐ<span class="desinence">τούς</span>||αὐ<span class="desinence">τῶν</span>||αὐ<span class="desinence">τοῖς</span>

 αὐτό|pronom personnel de la 3<sup>ème</sup> personne (N)||αὐ<span class="desinence">τό</span>|||αὐ<span class="desinence">τό</span>||αὐ<span class="desinence">τοῦ</span>||αὐ<span class="desinence">τῷ</span>||αὐ<span class="desinence">τά</span>|||αὐ<span class="desinence">τά</span>||αὐ<span class="desinence">τῶν</span>||αὐ<span class="desinence">τοῖς</span>

 αὐτή|pronom personnel de la 3<sup>ème</sup> personne (F)||αὐτ<span class="desinence">ή</span>|||αὐ<span class="desinence">τήν</span>||αὐ<span class="desinence">τῆς</span>||αὐ<span class="desinence">τῇ</span>||αὐτ<span class="desinence">αί</span>|||αὐ<span class="desinence">τάς</span>||αὐ<span class="desinence">τῶν</span>||αὐ<span class="desinence">ταῖς</span>


 ὅδε|celui-ci (M)||<span class="desinence">ὅ</span>δε|||<span class="desinence">τόν</span>δε||<span class="desinence">τοῦ</span>δε||<span class="desinence">τῷ</span>δε||<span class="desinence">οἵ</span>δε|||<span class="desinence">τούσ</span>δε||<span class="desinence">τῶν</span>δε||<span class="desinence">τοῖσ</span>δε

 τόδε|ceci (N)||<span class="desinence">τό</span>δε|||<span class="desinence">τό</span>δε||<span class="desinence">τοῦ</span>δε||<span class="desinence">τῷ</span>δε||<span class="desinence">τά</span>δε|||<span class="desinence">τά</span>δε||<span class="desinence">τῶν</span>δε||<span class="desinence">τοῖσ</span>δε

 ἥδε|celle-ci (F)||<span class="desinence">ἥ</span>δε|||<span class="desinence">τήν</span>δε||<span class="desinence">τῆσ</span>δε||<span class="desinence">τῇ</span>δε||<span class="desinence">αἵ</span>δε|||<span class="desinence">τάσ</span>δε||<span class="desinence">τῶν</span>δε||<span class="desinence">ταῖσ</span>δε


 οὗτος|ce, cet (M)||οὗτος|||τοῦ<span class="desinence">τον</span>||τού<span class="desinence">του</span>||τού<span class="desinence">τῳ</span>||οὗτ<span class="desinence">οι</span>|||τού<span class="desinence">τους</span>||τού<span class="desinence">των</span>||τού<span class="desinence">τοις</span>

 τοῦτο|ce, cet (N)||τοῦ<span class="desinence">το</span>|||τοῦ<span class="desinence">το</span>||τού<span class="desinence">του</span>||τού<span class="desinence">τῳ</span>||τ<span style="font-weight: bold">αῦ</span><span class="desinence">τα</span>|||τ<span style="font-weight: bold">αῦ</span><span class="desinence">τα</span>||τού<span class="desinence">των</span>||τού<span class="desinence">τοις</span>

 αὕτη|cette (F)||αὕτ<span class="desinence">η</span>|||ταύ<span class="desinence">την</span>||ταύ<span class="desinence">της</span>||ταύ<span class="desinence">τῃ</span>||αὗτ<span class="desinence">αι</span>|||ταύ<span class="desinence">τας</span>||τ<span style="font-weight: bold">ού</span><span class="desinence">των</span>||ταύ<span class="desinence">ταις</span>
