tags: ἕρμαιον ἕρμαιον-8 conjugaison

ὤν (7a/M)|[en] étant (A)|participe imperfectif masculin|voix active|ὤν||||ὄ-ντ<span class="desinence">-ᾰ</span>||ὄ-ντ<span class="desinence">-ος</span>||ὄ-ντ<span class="desinence">-ῐ</span>||ὄ-ντ<span class="desinence">-ες</span>||||ὄ-ντ<span class="desinence">-ᾰs</span>||ὄ-ντ<span class="desinence">-ων</span>||οὖσῐ|[*ὄ-ντ<span class="desinence">-σῐ</span>]

ὄν (7a/N)|[en] étant (A)|participe imperfectif neutre|voix active|ὄν|[*ὄ-ντ]|||ὄν||ὄ-ντ<span class="desinence">-ος</span>||ὄ-ντ<span class="desinence">-ῐ</span>||ὄ-ντ<span class="desinence">-ᾰ</span>||||ὄ-ντ<span class="desinence">-ᾰ</span>||ὄ-ντ<span class="desinence">-ων</span>||οὖσῐ|[*ὄ-ντ<span class="desinence">-σῐ</span>]

οὖσᾰ (7a/F)|[en] étant (A)|participe imperfectif féminin|voix active|οὖσ<span class="desinence">-ᾰ</span>|[*ὄ-ντ-yᾰ]|||οὖσ<span class="desinence">-ᾰν</span>||οὔσ<span class="desinence">-ης</span>||οὔσ<span class="desinence">-ῃ</span>||οὖσ<span class="desinence">-αι</span>||||οὔσ<span class="desinence">-ᾱς</span>||οὐσ<span class="desinence">-ῶν</span>||οὔσ<span class="desinence">-αις</span>|


παιδεύων (7a/M)|[en] éduquant (A)|participe imperfectif masculin|voix active|παιδεύ<span class="desinence">-ων</span>||||παιδεύ<span class="desinence">-οντ-ᾰ</span>||παιδεύ<span class="desinence">-οντ-ος</span>||παιδεύ<span class="desinence">-οντ-ῐ</span>||παιδεύ<span class="desinence">-οντ-ες</span>||||παιδεύ<span class="desinence">-οντ-ᾰs</span>||παιδευ<span class="desinence">-όντ-ων</span>||παιδεύ<span class="desinence">-ουσῐ</span>|[*ο-ντ<span class="desinence">-σῐ</span>]

παιδεῦον (7a/N)|[en] éduquant (A)|participe imperfectif neutre|voix active|παιδεῦ<span class="desinence">-ον</span>|[*ο-ντ]|||παιδεῦ<span class="desinence">-ον</span>||παιδεύ<span class="desinence">-οντ-ος</span>||παιδεύ<span class="desinence">-οντ-ῐ</span>||παιδεύ<span class="desinence">-οντ-ᾰ</span>||||παιδεύ<span class="desinence">-οντ-ᾰ</span>||παιδευ<span class="desinence">-όντ-ων</span>||παιδεύ<span class="desinence">-ουσῐ</span>|[*ο-ντ<span class="desinence">-σῐ</span>]
