tags: ἕρμαιον ἕρμαιον-7 déclinaison

 τις|quelqu'un, un (M), quelqu'une, une (F)||τις|||τιν<span class="desinence">-ᾰ</span>||τιν<span class="desinence">-oς</span> (του)||τιν<span class="desinence">-ῐ</span> (τῳ)||τιν<span class="desinence">-ες</span>|||τιν<span class="desinence">-ᾰς</span>||τιν<span class="desinence">-ων</span>||τι<span class="desinence">-σῐ</span>

 τι|quelque (N)||τι|||τι||τιν<span class="desinence">-oς</span> (του)||τιν<span class="desinence">-ῐ</span> (τῳ)||τιν<span class="desinence">-ᾰ</span>|||τιν<span class="desinence">-ᾰ</span>||τιν<span class="desinence">-ων</span>||τι<span class="desinence">-σῐ</span>


 εἷς|un (M)||εἷς|||ἕν<span class="desinence">-ᾰ</span>||ἑν<span class="desinence">-ός</span>||ἑν<span class="desinence">-ί</span>|||||||||

 μίᾰ|une (F)||μί<span class="desinence">-ᾰ</span>|||μί<span class="desinence">-ᾰν</span>||μι<span class="desinence">-ᾶς</span>||μι<span class="desinence">-ᾷ</span>|||||||||

 ἕν|un (N)||ἕν|||ἕν||ἑν<span class="desinence">-ός</span>||ἑν<span class="desinence">-ί</span>|||||||||


 ὁ πατήρ|le père|ὁ|πατήρ|π<span style="font-weight: bold">ά</span>τερ|τὸν|πατέρ<span class="desinence">-ᾰ</span>|τοῦ|πατρ<span class="desinence">-ός</span>|τῷ|πατρ<span class="desinence">-ί</span>|οἱ|πατέρ<span class="desinence">-ες</span>|πατέρ<span class="desinence">-ες</span>|τοὺς|πατέρ<span class="desinence">-ᾰς</span>|τῶν|πατέρ<span class="desinence">-ων</span>|τοῖς|πατρ<span style="font-weight: bold">ά</span><span class="desinence">-σῐ</span>

 ἡ μήτηρ|la mère|ἡ|μήτηρ|μ<span style="font-weight: bold">ῆ</span>τερ|τὴν|μητέρ<span class="desinence">-ᾰ</span>|τῆς|μητρ<span class="desinence">-ός</span>|τῇ|μητρ<span class="desinence">-ί</span>|αἱ|μητέρ<span class="desinence">-ες</span>|μητέρ<span class="desinence">-ες</span>|τὰς|μητέρ<span class="desinence">-ᾰς</span>|τῶν|μητέρ<span class="desinence">-ων</span>|ταῖς|μητρ<span style="font-weight: bold">ά</span><span class="desinence">-σῐ</span>

 ἡ θυγάτηρ|la fille – filiation|ἡ|θυγάτηρ|θ<span style="font-weight: bold">ύ</span>γατερ|τὴν|θυγατέρ<span class="desinence">-ᾰ</span>|τῆς|θυγατρ<span class="desinence">-ός</span>|τῇ|θυγατρ<span class="desinence">-ί</span>|αἱ|θυγατέρ<span class="desinence">-ες</span>|θυγατέρ<span class="desinence">-ες</span>|τὰς|θυγατέρ<span class="desinence">-ᾰς</span>|τῶν|θυγατέρ<span class="desinence">-ων</span>|ταῖς|θυγατρ<span style="font-weight: bold">ά</span><span class="desinence">-σῐ</span>
