tags: ἕρμαιον ἕρμαιον-9 conjugaison

διψῶ (1a)|j'ai soif|indicatif imperfectif présent|voix active|διψ-ῶ|[*διψή<span class="desinence">-ω</span>]|διψ-ῇς|[*διψή<span class="desinence">-εις</span>]|διψ-ῇ|[*διψή<span class="desinence">-ει</span>]|διψ-ῶμεν|[*διψή-ο<span class="desinence">-μεν</span>]|διψ-ῆτε|[*διψή-ε<span class="desinence">-τε</span>]|διψ-ῶσι(ν)|[*διψή-ουσῐ(ν)]

ζῶ (1a)|je vis|indicatif imperfectif présent|voix active|ζ-ῶ|[*ζή<span class="desinence">-ω</span>]|ζ-ῇς|[*ζή<span class="desinence">-εις</span>]|ζ-ῇ|[*ζή<span class="desinence">-ει</span>]|ζ-ῶμεν|[*ζή-ο<span class="desinence">-μεν</span>]|ζ-ῆτε|[*ζή-ε<span class="desinence">-τε</span>]|ζ-ῶσι(ν)|[*ζή-ουσῐ(ν)]

χρῶμαι (1m)|je me sers de|indicatif imperfectif présent|voix moyenne|χρ-ῶμαι|[*χρή-ο<span class="desinence">-μαι</span>]|χρ-ῇ|[*χρή-ει (-ε<span class="desinence">-σαι</span>)]|χρ-ῆται|[*χρή-ε<span class="desinence">-ται</span>]|χρ-ώμεθα|[*χρη-ό<span class="desinence">-μεθᾰ</span>]|χρ-ῆσθε|[*χρή-ε<span class="desinence">-σθε</span>]|χρ-ῶνται|[*χρή-ο<span class="desinence">-νται</span>]
