tags: ἕρμαιον ἕρμαιον-9 conjugaison

διψῶν (7a/M)|[en] ayant soif|participe imperfectif masculin|voix active|διψ<span class="desinence">-ῶν</span>|[*διψή<span class="desinence">-ων</span>]|||διψ<span class="desinence">-ῶντ-ᾰ</span>|[*διψή<span class="desinence">-οντ-ᾰ</span>]|διψ<span class="desinence">-ῶντ-ος</span>|[*διψή<span class="desinence">-οντ-ος</span>]|διψ<span class="desinence">-ῶντ-ῐ</span>|[*διψή<span class="desinence">-οντ-ῐ</span>]|διψ<span class="desinence">-ῶντ-ες</span>|[*διψή<span class="desinence">-οντ-ες</span>]|||διψ<span class="desinence">-ῶντ-ᾰs</span>|[*διψή<span class="desinence">-οντ-ᾰs</span>]|διψ<span class="desinence">-ώντ-ων</span>|[*διψη<span class="desinence">-όντ-ων</span>]|διψ<span class="desinence">-ῶσῐ</span>|[*διψή<span class="desinence">-ουσῐ</span>]

διψῶν (7a/N)|[en] ayant soif|participe imperfectif neutre|voix active|διψ<span class="desinence">-ῶν</span>|[*διψή<span class="desinence">-ον</span>]|||διψ<span class="desinence">-ῶν</span>|[*διψή<span class="desinence">-ον</span>]|διψ<span class="desinence">-ῶντ-ος</span>|[*διψή<span class="desinence">-οντ-ος</span>]|διψ<span class="desinence">-ῶντ-ῐ</span>|[*διψή<span class="desinence">-οντ-ῐ</span>]|διψ<span class="desinence">-ῶντ-ᾰ</span>|[*διψή<span class="desinence">-οντ-ᾰ</span>]|||διψ<span class="desinence">-ῶντ-ᾰ</span>|[*διψή<span class="desinence">-οντ-ᾰ</span>]|διψ<span class="desinence">-ώντ-ων</span>|[*διψη<span class="desinence">-όντ-ων</span>]|διψ<span class="desinence">-ῶσῐ</span>|[*διψή<span class="desinence">-ουσῐ</span>]

διψῶσᾰ (7a/F)|[en] ayant soif|participe imperfectif féminin|voix active|διψ<span class="desinence">-ῶσᾰ</span>|[*διψή<span class="desinence">-ουσᾰ</span>]|||διψ<span class="desinence">-ῶσᾰν</span>|[*διψή<span class="desinence">-ουσᾰν</span>]|διψ<span class="desinence">-ώσης</span>|[*διψη<span class="desinence">-ούσης</span>]|διψ<span class="desinence">-ώσῃ</span>|[*διψη<span class="desinence">-ούσῃ</span>]|διψ<span class="desinence">-ῶσαι</span>|[*διψή<span class="desinence">-ουσαι</span>]|||διψ<span class="desinence">-ώσᾱς</span>|[*διψη<span class="desinence">-ούσᾱς</span>]|διψ<span class="desinence">-ωσῶν</span>|[*διψη<span class="desinence">-ουσῶν</span>]|διψ<span class="desinence">-ώσαις</span>|[*διψη<span class="desinence">-ούσαις</span>]


ζῶν (7a/M)|[en] vivant|participe imperfectif masculin|voix active|ζ<span class="desinence">-ῶν</span>|[*ζή<span class="desinence">-ων</span>]|||ζ<span class="desinence">-ῶντ-ᾰ</span>|[*ζή<span class="desinence">-οντ-ᾰ</span>]|ζ<span class="desinence">-ῶντ-ος</span>|[*ζή<span class="desinence">-οντ-ος</span>]|ζ<span class="desinence">-ῶντ-ῐ</span>|[*ζή<span class="desinence">-οντ-ῐ</span>]|ζ<span class="desinence">-ῶντ-ες</span>|[*ζή<span class="desinence">-οντ-ες</span>]|||ζ<span class="desinence">-ῶντ-ᾰs</span>|[*ζή<span class="desinence">-οντ-ᾰs</span>]|ζ<span class="desinence">-ώντ-ων</span>|[*ζη<span class="desinence">-όντ-ων</span>]|ζ<span class="desinence">-ῶσῐ</span>|[*ζή<span class="desinence">-ουσῐ</span>]

ζῶν (7a/N)|[en] vivant|participe imperfectif neutre|voix active|ζ<span class="desinence">-ῶν</span>|[*ζή<span class="desinence">-ον</span>]|||ζ<span class="desinence">-ῶν</span>|[*ζή<span class="desinence">-ον</span>]|ζ<span class="desinence">-ῶντ-ος</span>|[*ζή<span class="desinence">-οντ-ος</span>]|ζ<span class="desinence">-ῶντ-ῐ</span>|[*ζή<span class="desinence">-οντ-ῐ</span>]|ζ<span class="desinence">-ῶντ-ᾰ</span>|[*ζή<span class="desinence">-οντ-ᾰ</span>]|||ζ<span class="desinence">-ῶντ-ᾰ</span>|[*ζή<span class="desinence">-οντ-ᾰ</span>]|ζ<span class="desinence">-ώντ-ων</span>|[*ζη<span class="desinence">-όντ-ων</span>]|ζ<span class="desinence">-ῶσῐ</span>|[*ζή<span class="desinence">-ουσῐ</span>]
