tags: ἕρμαιον ἕρμαιον-9 déclinaison

 οὐδείς|personne, aucun (M)||οὐδείς|||οὐδέν<span class="desinence">-ᾰ</span>||οὐδεν<span class="desinence">-ός</span>||οὐδεν<span class="desinence">-ί</span>|||||||||

 οὐδέν|aucun (N)||οὐδέν|||οὐδέν||οὐδεν<span class="desinence">-ός</span>||οὐδεν<span class="desinence">-ί</span>|||||||||

 οὐδεμίᾰ|aucune (F)||οὐδεμί<span class="desinence">-ᾰ</span>|||οὐδεμί<span class="desinence">-ᾰν</span>||οὐδεμι<span class="desinence">-ᾶς</span>||οὐδεμι<span class="desinence">-ᾷ</span>|||||||||


 μηδείς|personne, aucun (M)||μηδείς|||μηδέν<span class="desinence">-ᾰ</span>||μηδεν<span class="desinence">-ός</span>||μηδεν<span class="desinence">-ί</span>|||||||||

 μηδέν|aucun (N)||μηδέν|||μηδέν||μηδεν<span class="desinence">-ός</span>||μηδεν<span class="desinence">-ί</span>|||||||||

 μηδεμίᾰ|aucune (F)||μηδεμί<span class="desinence">-ᾰ</span>|||μηδεμί<span class="desinence">-ᾰν</span>||μηδεμι<span class="desinence">-ᾶς</span>||μηδεμι<span class="desinence">-ᾷ</span>|||||||||


 πολύς|abondant, nombreux (M)||πολύς|||πολύν||πολλ<span class="desinence">οῦ</span>||πολλ<span class="desinence">ῷ</span>||πολλ<span class="desinence">οί</span>|||πολλ<span class="desinence">ούς</span>||πολλ<span class="desinence">ῶν</span>||πολλ<span class="desinence">οῖς</span>

 πολύ|abondant, nombreux (N)||πολύ|||πολύ||πολλ<span class="desinence">οῦ</span>||πολλ<span class="desinence">ῷ</span>||πολλ<span class="desinence">ά</span>|||πολλ<span class="desinence">ά</span>||πολλ<span class="desinence">ῶν</span>||πολλ<span class="desinence">οῖς</span>

 πολλή|abondante, nombreuse (F)||πολλ<span class="desinence">ή</span>|||πολλ<span class="desinence">ήν</span>||πολλ<span class="desinence">ῆς</span>||πολλ<span class="desinence">ῇ</span>||πολλ<span class="desinence">αί</span>|||πολλ<span class="desinence">άς</span>||πολλ<span class="desinence">ῶν</span>||πολλ<span class="desinence">αῖς</span>


 μέγας|grand (M)||μέγας|μεγάλ<span class="desinence">ε</span>||μέγαν||μεγάλ<span class="desinence">ου</span>||μεγάλ<span class="desinence">ῳ</span>||μεγάλ<span class="desinence">οι</span>|μεγάλ<span class="desinence">οι</span>||μεγάλ<span class="desinence">ους</span>||μεγάλ<span class="desinence">ων</span>||μεγάλ<span class="desinence">οις</span>

 μέγα|grand (N)||μέγα|μέγα||μέγα||μεγάλ<span class="desinence">ου</span>||μεγάλ<span class="desinence">ῳ</span>||μεγάλ<span class="desinence">α</span>|μεγάλ<span class="desinence">α</span>||μεγάλ<span class="desinence">α</span>||μεγάλ<span class="desinence">ων</span>||μεγάλ<span class="desinence">οις</span>

 μεγάλη|grande (F)||μεγάλ<span class="desinence">η</span>|μεγάλ<span class="desinence">η</span>||μεγάλ<span class="desinence">ην</span>||μεγάλ<span class="desinence">ης</span>||μεγάλ<span class="desinence">ῃ</span>||μεγάλ<span class="desinence">αι</span>|μεγάλ<span class="desinence">αι</span>||μεγάλ<span class="desinence">ᾱς</span>||μεγάλ<span class="desinence">ων</span>||μεγάλ<span class="desinence">αις
