tags: ἕρμαιον ἕρμαιον-5 déclinaison

 ἡ ἡμέρᾱ|le jour|ἡ|ἡμέρ<span class="desinence">-ᾱ</span>|ἡμέρ<span class="desinence">-ᾱ</span>|τὴν|ἡμέρ<span class="desinence">-ᾱν</span>|τῆς|ἡμέρ<span class="desinence">-ᾱς</span>|τῇ|ἡμέρ<span class="desinence">-ᾳ</span>|αἱ|ἡμέρ<span class="desinence">-αι</span>|ἡμέρ<span class="desinence">-αι</span>|τὰς|ἡμέρ<span class="desinence">-ᾱς</span>|τῶν|ἡμερ<span class="desinence">-ῶν</span>|ταῖς|ἡμέρ<span class="desinence">-αις</span>

 ἡ ἄγκυρᾰ|l'ancre|ἡ|ἄγκυρ<span class="desinence">-ᾰ</span>|ἄγκυρ<span class="desinence">-ᾰ</span>|τὴν|ἄγκυρ<span class="desinence">-ᾰν</span>|τῆς|ἀγκύρ<span class="desinence">-ᾱς</span>|τῇ|ἀγκύρ<span class="desinence">-ᾳ</span>|αἱ|ἄγκυρ<span class="desinence">-αι</span>|ἄγκυρ<span class="desinence">-αι</span>|τὰς|ἀγκύρ<span class="desinence">-ᾱς</span>|τῶν|ἀγκυρ<span class="desinence">-ῶν</span>|ταῖς|ἀγκύρ<span class="desinence">-αις</span>

 ἡ κεφαλή|la tête|ἡ|κεφαλ<span class="desinence">-ή</span>|κεφαλ<span class="desinence">-ή</span>|τὴν|κεφαλ<span class="desinence">-ήν</span>|τῆς|κεφαλ<span class="desinence">-ῆς</span>|τῇ|κεφαλ<span class="desinence">-ῇ</span>|αἱ|κεφαλ<span class="desinence">-αί</span>|κεφαλ<span class="desinence">-αί</span>|τὰς|κεφαλ<span class="desinence">-άς</span>|τῶν|κεφαλ<span class="desinence">-ῶν</span>|ταῖς|κεφαλ<span class="desinence">-αῖς</span>

 ἡ γλῶττᾰ|la langue|ἡ|γλῶττ<span class="desinence">-ᾰ</span>|γλῶττ<span class="desinence">-ᾰ</span>|τὴν|γλῶττ<span class="desinence">-ᾰν</span>|τῆς|γλώττ<span class="desinence">-ης</span>|τῇ|γλώττ<span class="desinence">-ῃ</span>|αἱ|γλῶττ<span class="desinence">-αι</span>|γλῶττ<span class="desinence">-αι</span>|τὰς|γλώττ<span class="desinence">-ᾱς</span>|τῶν|γλωττ<span class="desinence">-ῶν</span>|ταῖς|γλώττ<span class="desinence">-αις</span>

 ἡ κρήνη|la fontaine|ἡ|κρήνη|κρήνη|τὴν|κρήνην|τῆς|κρήνης|τῇ|κρήνῃ|αἱ|κρῆναι|κρῆναι|τὰς|κρήνᾱς|τῶν|κρηνῶν|ταῖς|κρήναις
