tags: ἕρμαιον ἕρμαιον-2 conjugaison

παιδεύω (1a)|j'éduque|indicatif imperfectif présent|voix active|παιδεύ<span class=desinence>-ω</span>||παιδεύ<span class=desinence>-εις</span>||παιδεύ<span class=desinence>-ει</span>||παιδεύ-ο<span class=desinence>-μεν</span>||παιδεύ-ε<span class=desinence>-τε</span>||παιδεύ-ουσῐ(ν)|(-ο<span class=desinence>-ντ-ῐ</span>)

λύω (1a)|je délie|indicatif imperfectif présent|voix active|λύ<span class=desinence>-ω</span>||λύ<span class=desinence>-εις</span>||λύ<span class=desinence>-ει</span>||λύ-ο<span class=desinence>-μεν</span>||λύ-ε<span class=desinence>-τε</span>||λύ-ουσῐ(ν)|(-ο<span class=desinence>-ντ-ῐ</span>)

εἰμι (1a)|je suis|indicatif imperfectif présent|voix active|εἰμι||εἶ||ἐστι(ν)||ἐσμεν||ἐστε||εἰσι(ν)|
